APURCH,unique,age,gendf,gendm,pcode,atmcrd,paydep,BALCHQ,BALSAV,TOTDEP,BALLOAN,BALLOC,BALMRGG,NEWLOC,NEWMRGG,TXBRAN,TXATM,TXPOS,TXCHQ,TXWEB,TXTEL,TOTSERV,CH_NM_SERV,CH_NM_PRD,valsegm,N_IND_INC_,numrr_1,numcon_1,avginc_1,avginv_1
Y,6181,48,0,1,V3K6P5,1,0,2358.734167,670.9341667,3356.903333,,13809.8425,224036.3058,0,0,6.083333333,0.25,10.16666667,2.416666667,0.333333333,0,5,0,1,C,780,360,1904,38332.05128,4925
Y,6182,23,0,1,V3K6P5,1,0,741.0266667,477.2133333,1229.345,24700.46667,,,0,0,1.583333333,5.25,7,0.833333333,4.083333333,0,4,0,3,C,780,360,1904,38332.05128,4925
Y,6185,40,1,0,V4E1P5,1,1,668.4783333,0,795.2158333,,8380.193333,69607.80333,0,0,3.583333333,7.75,46.25,3.833333333,0,0,4.4,-1,-1,B,570,290,1886,39914.03509,5733.333333
Y,6188,48,0,1,V5V4T9,1,1,2513.730833,,5400.278333,,,,0,0,2,2.5,0,0,0,0,2.9,-1,-1,D,940,410,1597,23661.70213,2684.745763
N,6197,69,1,0,V5W3R3,1,0,,732.7391667,5809.694167,,,,0,0,0.166666667,0,0,0,0,0,3,0,0,D,920,340,1544,25502.17391,2600
Y,6200,39,0,1,V6L1V8,1,1,13563.59833,5723.555,19817.58833,,1652.724167,366398.05,0,0,2.166666667,12.16666667,29.83333333,4.166666667,2.083333333,0,5,0,1,B,560,270,1895,52989.28571,7940.384615
Y,6202,58,0,1,V5X3G6,1,0,,2860.509167,33716.41167,,,65896.7275,0,0,4.583333333,0,0,0,0,0,4,0,-1,D,1020,170,721,23328.43137,2945.762712
Y,6209,47,0,1,V2X9P3,1,0,1437.029167,,1905.696667,,5196.029167,140000,0,1,2.083333333,8.583333333,3.833333333,0.75,0,0,3.2,0,0,D,1000,230,727,32253,1690
Y,6211,52,0,1,V9Y4Z2,0,0,50.23,,102.9375,,,,0,0,0,0,0,0,0,0,2,0,0,E,340,100,372,23991.17647,3379.166667
N,6215,55,0,1,V7W3E8,1,0,2.536666667,0,183.8366667,,23071.99875,283640.64,0,0,0.583333333,0.5,0,1.083333333,0,0,4.2,-2,0,A,200,150,1088,70785,9307.142857
Y,6217,59,0,1,V6K2E9,1,1,3215.438333,0,3956.848333,,11517.66,179719.3225,0,0,0.5,22.91666667,13.75,5.833333333,0,0,5,0,0,A,590,330,1876,46569.49153,4789.655172
Y,6218,36,1,0,V5L1N5,1,1,2673.614167,,2744.124167,,,,0,0,0,0.166666667,0,0.583333333,0,0,2,0,0,D,640,210,738,24159.375,2720
N,6221,39,1,0,V3H3V9,1,0,284.2425,2329.928333,2690.733333,,357,97393.27333,0,0,0.5,13.75,27,3.5,6.333333333,0,5,0,0,B,200,80,305,29880,2400
Y,6225,52,0,1,V4C6T1,1,0,2780.635833,,2839.328333,,,,0,0,0.5,0.333333333,0,0,0,0,2,0,0,E,810,370,1767,36043.20988,2766.666667
Y,6229,49,1,0,V3H1S1,1,1,853.4833333,,911.22,12066.62727,558.9775,91220.14273,0,0,3.25,9.583333333,43.41666667,8.583333333,1.083333333,0.083333333,4.8,-2,-3,A,870,350,1565,34290.8046,1450
N,6231,22,0,1,V4E2L7,1,0,33.808,194.4375,222.6108333,,,,0,0,0.833333333,8.166666667,14.5,0.083333333,0.5,0,2,0,1,D,590,290,1375,36676.27119,2186.666667
